ID,Name,Companies,Inception,Revenue,Expenses,Profit,Growth
1,Lamtone,Financial Services,2009,"$11,757,018 ","6,482,465 Dollars",5274553,30%
2,Stripfind,Financial Services,2010,"$12,329,371 ","916,455 Dollars",3005820,20%
3,Canecorporation,Financial Services,2012,"$10,597,009 ","7,591,189 Dollars",3005820,7%
4,Mattouch,Financial Services,2013,"$14,026,934 ","7,429,377 Dollars",0,7%
5,Techdrill,Financial Services,2009,"$10,573,990 ","7,435,363 Dollars",0,7%
6,Techline,Financial Services,2006,"$13,898,119 ","5,470,303 Dollars",0,7%
7,Cityace,Financial Services,2010,"$9,254,614 ","6,249,498 Dollars",0,16%
8,Kayelectronics,Financial Services,2009,"$9,451,943 ","3,878,113 Dollars",5573830,4%
9,Ganzlax,Financial Services,2011,"$14,001,180 ","3,878,113 Dollars",0,18%
10,Trantraxlax,Government Services,2011,"$11,088,336 ","5,635,276 Dollars",5453060,7%
